casting director	70 50
" We ' ll split the workload up five ways	49 49 49 49 49 76 73 73 73 76
I ' m sure most of you don ' t want to	79 79 79 79 79 79 79 79 79 79 79 79
So because it ' s not a real person who is deciding	70 70 76 76 76 44 44 70 70 43 70 70
So idea number eight for generating passive income	62 58 58 59 60 63 63 63
these student films	50 50 50
couldn ' t ask for anything better	41 41 41 71 71 71 71
because of the corporation tax saving	51 51 51 52 49 67
One really good example is this guy called Traf	79 76 76 79 76 76 79 77 77
not yet ready to buy a house	31 31 31 31 31 40 37
this course and so if your photographer	79 79 79 79 79 79 79
will be chapter summaries for you to go	40 49 49 49 49 49 40 40
espn and maybe	71 71 71
then they will have more confidence in	79 79 79 79 79 77 77
point here is to tell you to follow your	49 49 49 49 49 68 68 68 41
of these rooms or if it ' s a multi	20 20 20 19 19 20 20 20 20 20
in your income this literally happened	79 79 70 79 79 79
J L Collins ' amazing blog with a Fantastic Stock series	49 49 49 49 41 49 49 49 49 50 79
all the way through to September 2019	79 33 33 33 32 33 33
physical goods and as we ' ve talked about	1 28 28 37 73 73 73 0 1
is training every single actor needs to	49 76 76 76 80 79 80
a second time at the very end of the day	68 41 44 44 71 53 53 52 43 43
one of my favorite YouTubers also says as well	58 58 58 58 58 40 70 70 79
The other way of doing a membership	67 67 67 67 58 67 67
completely separate video	79 79 79
blows through all their savings in a	50 50 50 50 40 40 40
based on the property type based on the	40 40 40 40 40 40 40 40
the casting directors of the show and	76 76 76 79 76 76 76
We actually want to make money	61 61 61 43 50 81
look at the crying baby	53 53 44 41 49
involved in real estate investing as	79 79 79 79 79 79
lead characters of the show	0 0 0 0 0
you see even small markets like my	70 70 67 71 70 71 67
to invest in an index fund	58 58 58 58 61 67
something that ' s really important to	71 71 71 71 71 41 41
the three things that he says actors	41 41 41 37 37 37 64
Friday the 3rd of July 578 pounds in a single day	32 32 32 0 0 0 0 0 0 0 0
getting a Kindle or you know going to	79 70 0 0 0 0 0 0
my family so my parents they always had	79 79 79 79 79 79 79 79
plenty of money saved up when they move	40 41 41 41 68 40 41 71
is like getting a pizza you just	41 41 41 71 71 71 70
made was there ' s a janky looking HTML	37 37 37 37 37 37 37 46 49
audition cheat sheet that you can	7 7 7 7 7 7
i ' m going to copy and paste	0 0 0 0 0 0 0 0
was one of the main characters maybe he	40 40 40 40 40 40 40 40
if you ' re trying to get into better	80 80 80 80 76 76 76 79 79
is a huge step in building up another	40 40 40 40 40 40 37 67
audition preparation process that i	50 50 50 41 50
television shows	41 41
about the types of jobs they ' re booking	70 70 79 80 71 71 71 71 71
real estate express because	0 0 0 0
questions that they want us to improvise	67 40 40 41 41 41 49
last of us will be used in the	49 49 49 49 49 76 67 70
that is not directly tied to your time	76 79 79 50 50 80 80 50
Now we ' re point 11 out of 12 where we said	67 67 67 67 40 49 49 67 67 67 67 67
I mean the way you think	52 79 79 79 79 79
front of them and you ' re in their	71 79 76 79 49 49 49 49 79
this is the prep stage of real estate	40 49 49 52 44 43 67 40
character meaning you should definitely	70 80 71 41 41
if you liked it please give it a thumbs	72 72 72 41 71 71 71 71 71
in to the film and television industry	77 77 77 77 80 80 80
students ask	76 76
At some point you might get the idea to	0 0 79 79 76 76 79 1 76
these are the websites that industry	40 40 49 40 49 49
it really is a complicated process	41 40 40 40 40 40
assisting directors take us we will have	71 71 71 71 71 71 71
preparation to be flexible and malleable	33 33 33 33 33 33
name was daniel barnes	50 41 41 41
is it conducive towards having fun	41 41 40 40 40 40
diet free beat trap the game by going to	68 68 71 71 71 71 71 71 71
then factor that in and then and then	41 41 41 41 41 41 40 40
see you in the next video	79 79 79 79 79 0
a few more projects and then i got rid	50 51 50 50 37 31 40 40 50
your happiness	64 64
headshot and your resume both have your	71 77 77 77 77 71 71
this journey one thing that I ' d really	72 77 73 73 73 77 77 77 77
less than one percent of my auditions	41 71 71 71 71 71 71
luxurious or too big	61 71 79 79
So it ' s about a 50 % increase	0 0 0 0 0 63 63 63 63
and I ' ll show you how much money I ' ve been making	53 53 53 53 53 53 53 53 53 53 53 53 44 44
and he studies the field of swimmers	44 49 52 49 52 79 79
So that ' s what a fund is	79 67 67 67 67 67 79 70
to my class about how to study	76 76 76 76 76 71 79
i think it ' s really important to	79 79 79 79 79 79 79 79
so when i say tipping point what i mean	0 0 0 0 0 79 79 79 79
happy with it so I actually put a link	40 52 25 25 52 40 67 40 52
get rid of those nasty walls and get	79 52 34 63 79 79 79 79
working on	41 41
and taking out cash instead	79 79 79 79 80
and trying to get a little bit better each time	44 44 50 49 49 49 49 76 76 49
But when I say passive income	79 79 70 70 61 61
hi guys and welcome back to my channel	61 70 79 79 79 79 79 79
act but you ' re also getting paid to help	79 68 68 68 68 71 71 41 49 79
have that so - called 20 % magic number	79 49 19 19 19 19 19 19 19
resume and demo reel of all of those	71 50 50 50 53 80 80 53
all right enough about cobra kai let	68 76 76 76 76 76 77
television show	71 70
on netflix right now that ' s right you	71 71 71 71 71 71 71 68 41
promises and fake promotions these	71 80 71 71 79
compartmentalized rooms that were super	79 79 79 79 79
do as much as you can in your current	71 80 76 77 80 70 76 70 70
change you might be too tall for some	0 0 53 53 53 44 44 71
to a get - rich - quick crypto scheme or a gambling scheme	49 49 49 49 49 49 49 41 40 40 31 31 31
more than a hundred thousand pounds in 10 years time	41 43 70 70 43 43 49 49 49 76
expect some of your money to go to them	71 71 71 71 71 71 71 71 71
get at the acting Career Center website	71 71 68 68 68 71 71
so just know exactly how much you will	28 31 31 31 31 31 31 31
about it as one of the first stepping	79 79 79 79 79 79 79 80
flowdesk and flowdesk is the email list	71 71 71 71 71 70 71
california i have my own investment	2 2 2 2 2 0
on set	79 52
here they ' re more sliding closets so a	79 0 0 0 0 0 0 76 76
return and you do this as	70 40 40 43 43 43
all the way to the end	41 50 50 49 43 79
to the wall just so they could see all	19 19 19 46 47 47 47 46 50
is an investment in yourself if you	76 76 76 76 76 73 73
don ' t have another person to rehearse	67 67 67 67 67 67 67 67
things were laid out or things were	49 79 77 71 80 49 49
agent on your side i certainly wouldn	71 71 71 71 79 79 79
credit is going to be screwed the thing	53 40 52 52 49 40 40 40
book over fifty movies and television	79 70 43 34 34 34
okay well that ' s the end of that job	49 49 49 49 49 41 41 71 71 71
stocks with weeble and you ' ll get an	67 41 41 44 40 40 40 49 49
down payment on the home and since	79 79 79 79 79 79 70
but it really depends on your situation	79 76 79 70 71 71 79
important because i do know that there	52 70 49 49 50 50 77
though these types of videos	49 49 49 79 71
is creating an s corp a lot of people	43 40 40 40 31 31 31 40 40
you to come up with a plan on how to	70 79 70 52 79 79 79 79 79 79
those opportunities for the rest of your	51 49 76 76 76 76 67
watching this right now and you	49 49 49 49 49 49
just like a basketball player has to	71 50 53 53 53 53 53
far more likely to buy your thing you	50 50 49 49 50 42 71 71
great audition in less than 48 hours	80 49 70 70 70 70 68
And so I ' ve been thinking a lot over the last few months	0 0 0 0 0 0 0 0 0 0 0 0 0 0
always looking for	40 40 40
or you can definitely hire it out if	79 79 79 79 70 79 79 79
then your dividend tax rate is 32	79 79 79 79 79 79 79
the cheapest and it ' s the most efficient	13 49 49 22 22 22 22 40 40
with investing I know it ' s quite complicated	44 41 49 43 62 62 62 62 61
roles in major movies or television	67 49 80 40 40 70
number six on the list is	49 49 49 49 40 40
I would have watched videos like this	79 79 79 79 79 79 79
treating your business	31 31 31
is a right to work state or a union	70 70 50 50 80 80 80 50 52
this is both when you ' re talking about	49 49 37 1 1 1 1 1 31
advantage and if you ' re young and you	19 70 61 61 61 61 61 61 79
now this can cost anywhere between i	71 67 67 70 70 79 79
drink from starbucks or dunkin donuts or	61 61 70 70 70 70 70
probably have started investing so just	41 41 41 41 41 49
higher and five nights at nick and have	68 67 70 70 67 67 70 70
but uh it ' s a personal decision you may	67 71 70 70 70 71 70 80 44 80
about this as their career they want to	80 79 79 77 79 79 79 79
experience of fulfillment and the amount	1 1 1 1 11 10
catch a ball those are the things that	41 41 41 41 41 41 41 41
sharpen my skills and to find new tools	79 79 79 79 49 49 49 79
created on your own in which case you	40 40 67 40 70 40 64 67
And kind of on reflection I realized that	40 0 61 62 62 62 62 62
to take theater classes in college where	41 67 67 41 71 71 50
house hacking with this tax	19 19 19 19 19
don ' t need an agent right away in fact	79 79 79 79 70 71 71 71 70 70
agent that you are taking your career	79 79 79 79 79 76 77
okay moving on to the last section which	0 0 0 0 0 0 0 0
for me that ' s how it ended up happening	79 79 79 79 79 79 79 79 79 79
handy - dandy voice recorder like this you	67 67 67 67 40 40 40 40
best way to invest money for a reason	0 1 1 0 1 0 0 0
an agent only makes a 10 commission off	67 67 67 70 70 67 67 40
like you can have the role but you also	33 33 32 33 33 33 33 33 33
so one way to get around all of that is	71 71 71 70 70 61 61 61 70 79
biggest ones here in the us	41 41 41 41 50 41
of scientific evidence around what makes effective studying	40 50 80 78 78 81 80 80
be an on - camera actor and i think there	79 79 79 79 79 79 79 49 76 76
but just think about it as a habit right	70 70 43 79 43 52 70 70 70
at this point i still have my virtual	79 79 79 79 79 79 79 79
on where you live but let ' s say that	11 11 11 10 19 19 19 19 19 20
from that point it became a goal of mine	40 40 40 40 49 49 40 41 41
you when it comes to time to either	31 31 40 40 40 40 40 40
that you can bring to the table that i	79 80 79 79 79 79 79 79 80
articles from podcasts from your own	49 0 0 0 0 0
description as well in the industry we	71 71 71 71 49 79 49
century fox	79 67
won ' t see success in the future so	77 77 77 77 77 77 77 77 77
instead of spending all your effort on	49 49 79 79 79 79 79
steady paycheck every week or every	67 70 67 70 70 67
in the comments below until next time	71 71 71 71 71 71 71
and it ' s crazy to think that the course	79 79 79 79 79 79 79 79 79 79
yourself and putting all of your focus	50 20 20 20 50 50 50
that you could sell you could try	0 0 0 0 0 10 10
hundreds of thousands of dollars	79 79 79 79 79
that tends to take a long time to build	79 79 79 79 79 79 79 79 79
ones is	0 0
the point where you have it maybe about	70 70 67 40 40 40 40 40
unless Tim Cook you ' re watching	0 0 0 0 0 0 0
look every single agent when you submit	71 71 79 71 71 68 71
a fatal mistake that a lot of actors	49 49 41 41 41 41 41 41
the desk setup video has made about 1700 pounds	67 70 70 70 67 67 67 40 40
and it ' s kind of ridiculous	49 49 49 49 60 63 63
can upload a class to Skillshare	53 54 54 54 54 54
step seven is actually doing the	70 49 50 80 71 71
a lot of classes will allow you to audit	73 73 73 73 73 73 73 73 73
a very different quote like i guarantee	71 79 79 71 70 71 70
and they don ' t actually get the sort of returns	51 71 31 31 31 31 31 70 70 58 64
below market if you price up a low	79 79 79 79 52 79 81 80
" there are a set of basic skills	70 70 70 70 70 79 79 79
gave me the opportunity to audition for	68 68 68 68 68 68 68
few bucks and your wallet will be super	79 79 71 70 79 70 70 70
how much money you ' re gonna make is the type of content	67 67 67 67 67 67 67 67 67 58 58 55 55
is by following an online course over at Brilliant	0 67 67 68 67 67 67 70 80
so usually they ' ll take about one month	40 40 40 40 40 40 40 40 40
So one in a thousand of her subscribers	59 59 58 58 58 58 58 58
still be able to take advantage of	79 79 79 79 79 79 79
money up front to start working with you	40 40 40 40 50 50 50 50
make you a little bit of money at the	71 71 71 71 71 71 71 71 77
so really i encourage you guys to	79 79 79 79 79 79 43
three learn the business now one of the	71 71 71 71 71 41 41 40
now more with like online education and	79 79 79 79 79 79 79
upfront mortgage insurance premium	71 71 70 61
and tries to figure out what ' s the difference between them	52 52 79 79 70 70 70 70 70 70 70 70
is paid off because when it comes to compounding	70 49 49 79 70 71 71 41 49
to run a little bit more if you want to	49 49 49 49 50 50 50 41 20 21
that you got these things on sale you	79 79 79 79 79 79 79 79
every time a new role is posted that	76 76 76 76 73 73 73 77
products and level three attention I	10 0 0 0 0 0
even if your future goals do not include	52 52 79 79 79 79 79 79
I think we ' ve got nine on them in total	0 0 0 0 0 0 0 0 0 0 0
doing this topic and i didn ' t know if i	79 79 79 79 79 79 79 79 79 79 79
But this is the video that I wish I would have had	58 58 58 61 61 40 76 73 60 63 63 63
a chance to look at this last night can	70 70 79 79 79 79 79 79 79
So firstly most contracts with sponsors	0 0 0 0 0 0
purchases that you make	40 40 40 40
suggest the character but don ' t go	79 70 71 41 40 40 40 40
long - term residential rentals as well as	71 71 71 71 71 40 40 40
was doing is I was trading my time for	0 0 0 0 1 0 0 0 0
to it right	0 0 0
is actually focusing on rentals not too	40 49 49 49 49 49 46
manufacture it distribute like logistics	1 1 0 0 0
that people were like " Oh my God this is amazing	70 70 70 79 76 76 67 67 67 67 67
wagon and you go right to set they get	41 41 41 41 41 50 41 41 41
from my first commercial	49 49 49 49
uh depending on what market you ' re in a	70 68 41 41 40 40 40 40 49 49
casting profiles like actors access or	40 40 40 40 40 40
working on that show because they are	79 79 79 76 76 76 73
that ' s insane	79 79 79 79
and join and get - rich - quick scheme they don ' t exist	40 40 40 40 40 40 40 40 40 40 40 40 40 49
a point where you know you got app you	49 49 49 49 22 22 49 40 40
Okay so we know what a fund is	49 49 76 49 70 70 70 67
attention away from your performance so	76 76 76 76 79 50
not a background role a principal role	41 41 41 40 40 40 40
invested lots of money in the stock market	70 70 70 67 67 67 67 67
and skill	71 71
in driving a hundred miles per hour	71 71 71 71 71 71 71
is going to come	67 70 70 70
invested into amazing paid education	71 71 71 71 71
question because	41 71
so don ' t feel bad if you do them but	49 49 49 49 49 49 49 49 49 49 49
have any baby famous playing the lead	79 79 79 79 79 79 79
Thank you for watching and I ' ll see you in the next video	40 40 41 40 40 40 40 40 40 40 40 40 40 41
they have to pay their per diem while	68 68 68 40 43 43 67 41
for the purposes of this video we	41 40 40 70 71 71 71
bring you the most joy something that ' s the most urgent	79 76 76 79 52 49 41 41 41 41 41 41
that requires your concentration so if	64 64 64 64 64 64
there can be a desire to put	0 0 0 0 0 0 0
type of deal another really great way to	20 10 79 79 79 79 79 79
You can prioritize work during the holidays	76 76 76 79 79 79 79
X or a T so when you go into an audition	41 41 41 41 67 67 67 70 70 67 67
looks do matter in this industry they don ' t matter as much as you might think	71 71 71 71 71 71 71 79 79 79 80 71 71 71 71 71 71
of continuing to try and play that exam results game	79 79 79 79 79 79 79 79 79 79
Most of us don ' t have that level of privilege	76 76 76 77 77 77 77 77 77 77 77
when I was 12 years old I had this dream	0 0 0 0 0 0 1 0 0 1
for the mental or the emotional or the	76 79 79 76 76 76 79 79
it takes a long time much longer than a	79 79 79 79 79 79 79 79 79
helpful getting your real estate license	40 40 49 49 40 40
where it ' s ready to perform on the day	40 19 19 19 19 10 40 37 50 49
doing as an actor	70 70 70 70
any corporation tax on it	67 67 67 51 51
who ' s faced your problems before who	76 76 76 76 76 76 76 76
Point number six	79 1 1
just because I didn ' t know that you could	70 70 67 67 67 67 64 64 67 64
And if you want you can just go	61 61 61 61 61 70 70 79
spaced their prep too far apart the	49 49 46 40 50 40 40
and beating the odds and proving	71 49 49 41 71 64
and using a few tips and techniques and hacks	40 67 40 40 67 67 46 41 41
like none of this existed which is	79 0 0 0 0 0 0
and just live the best light that you	79 79 79 79 79 71 71 40
that you couldn ' t have done before	70 70 70 70 70 70 70 70
those people doing the things that you	79 79 79 79 79 79 79
different services and the max speed for	79 79 67 67 40 67 70
in high cost of living areas like los	79 79 79 71 79 79 79 79
dollars for yourself this means that	31 31 40 40 31 40
magically get signed to an agent without	71 71 71 77 76 76 71
to Her Majesty ' s Revenue and Customs	79 79 79 79 79 81 79 81
one of the stormtroopers who has one	0 0 0 0 0 0 0
and why I think it was actually	0 0 0 0 0 0 0
within the industry itself how we make	40 49 40 49 49 40 40
casting boards for roles that fit you	79 76 76 76 79 79 40
I just think you know what I should film a video	70 71 71 67 67 67 76 76 49 49 49
i ' ve made in	79 79 79 79 76
where you take two hours out of your	41 41 41 41 41 41 41 50
10 years old um wouldn ' t you be like	79 79 79 79 79 79 79 79 76 79
by investing in stocks and shares	63 63 63 63 63 59
let ' s flip that around and i want you to	79 79 79 49 49 49 49 79 79 79 79
wherever you can find them just follow	76 49 49 49 40 41 41
lifestyle and you are a personal trainer	49 49 49 49 49 49 49
come in like two to three weeks max	79 79 79 79 79 79 79 79
if you haven ' t already please subscribe	53 26 53 53 53 53 53 53
broker yourself so the next step is	0 0 0 49 79 79 79
much that ' s going to get you whatever	31 40 40 40 40 70 70 40 40
what ' s up my fellow actors welcome to	0 0 0 0 0 41 41 71 71
and start auditioning for the projects	50 41 50 50 50 50
think about which is that	70 70 67 67 64
will be an actual mark on the floor	77 77 77 77 80 80 68 68
watch cobra kai on netflix	49 49 71 0 0
theater even if your future goals really	79 79 79 79 79 79 79
i think that goes without saying but do	79 79 79 79 79 79 79 79
how many submissions do you get every	41 40 41 41 41 41 41
is beware of anybody who says that they	49 43 43 43 79 79 49 79
because there are great agencies out	79 40 71 71 71 71
so they said block out those days so	64 67 64 67 40 40 40 40
but it happens enough where actors need	79 79 79 79 79 79 79
emotional scenes i ' ve seen so many demo	40 41 41 41 41 41 41 41 41
when you want to run your own	21 21 21 21 21 21 21
And those are the things you ' re gonna be more grateful for	79 79 79 80 80 80 80 80 80 79 79 79 79
can think of for new actors who are	71 71 71 67 70 70 70 70
estate agent the next step is buying	79 79 79 79 79 71 79
came up with there ' s no like backing or	71 71 71 71 71 71 79 52 71 70
were to	40 41
it even though the description of the	79 79 79 79 79 79 79
figure out what your budget is and how	79 79 79 79 79 79 79 71
into real estate investing because as	40 31 31 40 40 53
dollars or something like that	70 40 40 40 70
the comments if you have any follow	71 71 71 71 71 71 71
what ' s up my fellow actors welcome to	0 0 0 0 0 12 71 71 71
gonna like stand still right here and	79 79 79 79 79 46 46
networks cost 25	67 67 70
in introducing myself to new colleagues	65 70 70 67 67 67
i guarantee you it ' s gonna taste exactly	62 70 70 70 70 70 79 52 70
training what else can you do	70 79 79 79 79 79
you understand what an actor ' s schedule	49 49 49 49 49 49 49 49
not try and create new things	70 49 49 40 49 79
getting pre - approved for a residential	31 40 40 40 40 40 41
markets like los angeles or new york if	79 79 79 79 79 79 79 79
I think I ' ve got a link in the description	49 40 40 40 40 49 40 49 49 49 49
don ' t care how big the movie was i don	49 49 49 49 49 49 49 49 50 49 49
as a business expense	79 79 76 76
underneath this we ' re going to do this	0 0 0 0 0 0 0 0 0
of the concept and then lets you apply	0 0 0 0 0 0 0 0
one day	0 0
that you can remember all this	40 31 31 40 41 40
can go around knocking on doors in your	49 49 49 49 49 49 49 49
prepare for buying your first home	40 40 70 43 43 43
that ' s okay you ' ve got the internet and	49 49 49 49 49 49 49 49 67 76 1
then if you go closer and closer to my	76 76 76 28 37 37 37 37 37
those of you that live overseas and got	68 68 68 72 71 71 71 71
are taking initiative	76 76 76
Mediterranean and then you ' ve got you	41 41 41 41 41 41 41 41
specifically i ' ve put links to all three	71 73 73 73 76 76 76 76 76
estimate your	1 1
really experienced mentor who can guide	79 79 79 79 79 79
miss is it ' s still really important to	79 79 79 79 79 79 79 79 79
for taping your auditions at home i	71 71 71 71 71 68 71
Therefore we ' re technically not losing money over time	67 61 61 61 61 61 70 70 40 31
those lines rock - solid inside you	40 41 41 41 41 41 41
to move to america	71 71 79 49
and look at you know am I feeling better	51 42 42 42 42 42 42 42 42
know so just find those good deals and	79 79 79 79 79 79 79 79
they ' re all going to say that so how do	71 71 71 71 71 71 71 71 49 79 79
on the older generations as well	79 79 79 79 79 79
keep practicing keep learning and i hope	71 71 71 71 71 71 71
different ways to find auditions without	41 41 41 41 67 70
home so we ' re gonna use that as the	71 70 70 70 70 70 70 70 70 79
Basically what it means is that	49 49 52 43 49 80
it ' s like trying to get admission to	67 67 67 67 43 43 41 41 71
low budget indie films where the stakes	70 70 70 70 79 79 79
Kennesaw right next to the Kennesaw	79 79 79 79 79 79
back to audition for another role	79 79 79 79 79 76
up for a show or you ' re in a show and	50 50 50 50 19 19 19 19 19 19 19 19
nobody ' s going to be able to make that	71 71 71 71 71 71 71 71 71 71
much recommend an online class you can	68 21 12 3 3 3 2
the actor is the person auditioning who	49 49 49 49 49 49 49
that is more modern that ' s more of the	79 79 79 79 79 79 79 79 79 79
step number 12 is to be patient and	1 21 21 19 21 1 19 21
shaq ' s parts in a totally separate room	64 64 64 64 64 64 64 64 49
elect to join at any point in your	76 79 79 79 79 68 68 71
commercial auditions is a different	49 49 49 49 49
I ' m gonna be doing the breads and the	41 41 41 41 41 41 41 41 41 41
back when I first started is there any	70 70 71 71 71 71 80 70
personally do real estate part - time i	79 79 79 79 79 79 79 70
and make a Lifetime ISA	79 79 79 79 70
to shoot in 1080p and your file sizes	71 71 67 70 49 49 49 49
marketing properly but selling someone	0 1 1 1 1
other jobs for those days because you	40 40 40 40 40 22 25
they stopped joking with each other and	26 26 26 26 26 26 50
refer to either a project breakdown or a	70 70 41 68 68 67 70 79
get to bed early to make sure I get	38 38 38 37 37 32 32 32 41
It ' s totally okay to shoot for things	79 79 79 79 79 79 79 79 79
running times to him I mean he ' s my	40 40 40 41 41 41 41 41 41 41
hey guys what ' s up in this video i	40 40 19 19 19 46 40 31 31 31
which amazingly went viral	64 67 67 64
is seven days on investment property but	40 43 44 43 43 53 50
I ' m quite enjoying making this video	67 67 67 67 67 68 67 67
for four workouts we replicate movements	49 40 40 41 40 40
but in my second year of medical school	68 65 64 64 64 64 64 64
where hollywood is	53 80 41
because i ' m never going to get it	79 79 79 79 79 79 79 79 79
gonna make the most money for you based	79 79 79 79 79 79 79 79
type of information that you will get	70 70 70 67 67 67 71
for business purposes is actually gonna be tech	40 40 67 67 67 40 31 31
the acting career center here to help	71 71 71 71 71 71 68
are so yeah that kind of concludes this	79 79 79 79 79 79 79 79
so take that background work off your	49 50 43 41 49 49 49
two - way street	49 49 49 41
spending some time here with me today	71 71 71 71 71 71 70
But in this blog post he talks about this	70 67 70 70 70 70 70 49 49
if everybody ' s saying the same thing how	79 79 79 79 71 79 79 79 79
casting process so if we don ' t have	71 71 40 40 40 40 40 40 40
